id,channel_name,is_signal,signal_type,sentiment_type,found_namads_string,views,forwards,published_at
256,https://t.me/grouprezabourse,0,,,,0,0,4/17/2022 07:59
768,https://t.me/asiasarmayeh,0,,negative,بورس,146,0,11/9/2021 13:04
1024,sahamyab,1,buy,,خودرو,160,0,6/21/2022 19:33
1280,sahamyab,1,,,,285,0,5/7/2022 19:18
257,https://t.me/grouprezabourse,0,,,,0,0,4/17/2022 07:59
513,https://t.me/Codal360_ir,0,,,,4538,0,6/28/2022 09:44
769,https://t.me/asiasarmayeh,0,,negative,"بورس، خودرو",128,0,11/9/2021 13:03
1025,sahamyab,1,buy,,حفارس,158,0,6/21/2022 19:30
1281,sahamyab,1,buy,,وبملت,275,0,5/7/2022 18:53
1537,topsignalexchange,0,,,,2398,0,5/14/2022 06:11
2,https://t.me/snipersahamyab,1,buy,positive,غنوش,84,0,4/17/2022 09:29
258,https://t.me/grouprezabourse,0,,,,0,0,4/17/2022 07:59
1026,sahamyab,1,buy,,بورس,152,0,6/22/2022 04:08
1538,topsignalexchange,0,,,,2343,0,5/14/2022 06:11
3,https://t.me/snipersahamyab,1,buy,positive,ختور,84,0,4/17/2022 09:11
259,https://t.me/grouprezabourse,0,,negative,بورس,0,0,4/17/2022 07:59
771,https://t.me/asiasarmayeh,0,,negative,بورس,70,0,11/9/2021 13:00
1027,sahamyab,0,,,,173,0,6/21/2022 12:40
1539,topsignalexchange,0,,,قشرین,2308,0,5/14/2022 05:09
4,https://t.me/snipersahamyab,1,buy,,,98,0,4/17/2022 07:59
772,https://t.me/asiasarmayeh,0,,negative,بورس,66,0,11/9/2021 12:59
1540,topsignalexchange,1,buy,,,2235,0,5/14/2022 05:07
5,https://t.me/snipersahamyab,0,,neutral,ختور,93,0,4/17/2022 07:58
261,https://t.me/grouprezabourse,0,,,,0,0,4/17/2022 07:58
773,https://t.me/asiasarmayeh,0,,negative,"بورس، خودرو، ما، ملت",59,0,11/9/2021 12:59
1029,sahamyab,0,,,,179,0,6/21/2022 06:35
1285,topsignalexchange,1,buy,,ثفارس,1676,0,6/22/2022 04:27
1541,vipmosbat5,0,,,,999,0,6/21/2022 07:02
6,https://t.me/snipersahamyab,0,,positive,غنوش,83,0,4/17/2022 07:56
774,https://t.me/asiasarmayeh,0,,negative,بورس,68,0,11/9/2021 12:59
1030,sahamyab,0,,,,172,0,6/21/2022 06:11
1286,topsignalexchange,1,buy,,فمراد,1617,0,6/22/2022 04:27
1542,vipmosbat5,0,,,مداران,941,0,6/21/2022 06:31
263,https://t.me/grouprezabourse,0,,,,0,0,4/17/2022 07:57
775,https://t.me/asiasarmayeh,0,,negative,بورس,77,0,11/9/2021 06:55
1031,sahamyab,1,sell,,غنوش,176,0,6/21/2022 04:14
1287,topsignalexchange,0,,,,1557,0,6/22/2022 04:27
1543,vipmosbat5,1,,,جم ,1199,0,6/18/2022 07:01
776,https://t.me/asiasarmayeh,0,,negative,"بورس، ما",78,0,11/9/2021 06:14
1032,sahamyab,1,buy,,غنوش,181,0,6/21/2022 04:08
