source,targets,category
"And the king sat upon his seat, as at other times, even upon a seat by the wall: and Jonathan arose, and Abner sat by Saul's side, and David's place was empty.",و به خادم خود گفت: «بدو وتیرها را که می‌اندازم پیدا کن.» و چون پسرمی دوید تیر را چنان انداخت که از او رد شد.,bible
But he loved her. And he tried to live up to what she expected of him.,"اما او را خیلی دوست داشت، و سعی می‌کرد توقعات او را برآورده کند.",mizan
"Defarge laid his strong hand on the breast of one of these men'a man with a grey head, who had a lighted torch in his hand'","دوفارژ دست نیرومند خویش را بر سینهء یکی از این افسران که مردی خاکستری موی و مشعل به شدت بود قرار داد،",mizan
Of Issachar; Nethaneel the son of Zuar.,"و از اشیر، فجعیئیل بن عکران.",bible
"What shall we say then? Is the law sin? God forbid. Nay, I had not known sin, but by the law: for I had not known lust, except the law had said, Thou shalt not covet.",و نه بلندی و نه پستی و نه هیچ مخلوق دیگر قدرت خواهد داشت که ما را ازمحبت خدا که در خداوند ما مسیح عیسی است جدا سازد.,bible
"The men of the desert were already familiar with that wind. They called it thesimum , and it was worse than a storm at sea.",مردان صحرا با این باد آشنایی داشتند و آن را باد سموم می‌نامیدند. سموم از توفان دریایی هم بدتر بود.,mizan
"As sorrowful, yet alway rejoicing; as poor, yet making many rich; as having nothing, and yet possessing all things.","زیرا که به‌جا آوردن این خدمت، نه فقط حاجات مقدسین را رفع می‌کند، بلکه سپاس خدا را نیز بسیار می‌افزاید.",bible
"Then followed he (another) way,",پس [باز هم با توسل به وسیله] راهی را [برای سفر به شرق] دنبال کرد.,quran
My father's next door buying my books,با بام رفته از فروشگاه بغلی به رام کناب به خره.,mizan
"A very convincing costume, but just Don't tell me you thought that wasn't real, I moan.","یک پوشش خیلی خیلی باورکردنی، اما فقط می‌نالم: نگو که تو فکر نکردی آن واقعی باشد.",mizan
"And it was told the house of David, saying, Syria is confederate with Ephraim. And his heart was moved, and the heart of his people, as the trees of the wood are moved with the wind.","زیرا قبل از آنکه طفل بتواند‌ای پدرم و‌ای مادرم بگوید، اموال دمشق وغنیمت سامره را پیش پادشاه آشور به یغماخواهند برد.»",bible
"Say: ""If ye had control of the Treasures of the Mercy of my Lord, behold, ye would keep them back, for fear of spending them: for man is (every) niggardly!""","[به این کافران و مغروران به امور مادی دلفریب] بگو: اگر شما مالک خزینه‌های رحمت پروردگارم [مانند باران، اموال، ارزاق و …] بودید، در آن صورت از ترس [تهی دستی و کم شدنش] از انفاق کردن آن بخل می‌ورزیدید؛ و انسان همواره بسیار بخیل و تنگ نظر است.",quran
He musstn't hurt Preciouss.,نباید ص صدمه بزند به عزیز زمان.,mizan
Thus do We relate to thee some stories of what happened before: for We have sent thee a Message from Our own Presence.,این گونه بخشی از اخبار گذشته را برای تو بیان می‌کنیم و بی تردید ذکری [چون قرآن] از نزد خود به تو عطا کردیم.,quran
"That He did create in pairs,- male and female,","واوست که دو زوج نر وماده آفرید،",quran
I know the house where you heard it,خانه‌ای که به من می‌گویید خانه‌ای است که من او را می‌شناسم.,mizan
We will make thee borders of gold with studs of silver.,کشیکچیانی که در شهر گردش می‌کنند مرایافتند. گفتم که «آیا محبوب جان مرا دیده‌اید؟»,bible
"For an angel went down at a certain season into the pool, and troubled the water: whosoever then first after the troubling of the water stepped in was made whole of whatsoever disease he had.","عیسی نانها را گرفته و شکرنموده، به شاگردان داد و شاگردان به نشستگان دادند؛ و همچنین از دو ماهی نیز به قدری که خواستند.",bible
"And he did that which was right in the sight of the LORD, and walked in the ways of David his father, and declined neither to the right hand, nor to the left.","و شافان کاتب پادشاه را خبرداده، گفت: «حلقیای کاهن کتابی به من داده است.» پس شافان آن را به حضور پادشاه خواند.",bible
"Be ye foremost (in seeking) Forgiveness from your Lord, and a Garden (of Bliss), the width whereof is as the width of heaven and earth, prepared for those who believe in Allah and His messengers: that is the Grace of Allah, which He bestows on whom he pleases: and Allah is the Lord of Grace abounding.","سبقت جویید به آمرزشی از سوی پروردگارتان و بهشتی که پهنایش چون پهنای آسمان و زمین است، برای کسانی که به خدا و پیامبرانش ایمان آورده‌اند، آماده شده است؛ این فضل خداست که آن را به هرکس بخواهد عطا می‌کند و خدا دارای فضل بزرگ است.",quran
I'll positively explode with every last scrap of mirth I can muster!,"به طور قطع، به هر شکلی که بتوانم، از ته دل می‌خندم!",mizan
She had been carried along as if she had been speaking to Fred instead of Mr. Farebrother. to go deeper.,"احساس کرده بود به جای آقای فیربرادر با فرد صحبت می‌کند، چیزهایی گفته بود که نمی‌بایست بر زبانشان می‌آورد.",mizan
I'm knocked to the floor.,من با ضربه یکی از آن‌ها روی زمین می‌افتم.,mizan
"There no sense of fatigue shall touch them, nor shall they (ever) be asked to leave.",در آنجا خستگی و رنجی به آنان نمی‌رسد و هیچ گاه از آنجا اخراج نمی‌شوند.,quran
The young men of Aven and of Pi-beseth shall fall by the sword: and these cities shall go into captivity.,و زمینی را که در آن شنا می‌کنی ازخون تو تا به کوهها سیراب می‌کنم که وادیها از توپر خواهد شد.,bible
So many times he had heard this even the formula was the same.," … دیگ بارها و بارها این عبارت را از دهان خود شنید، حتی شکل آن عوض نمی‌شد.",mizan
"Which Nebuchadnezzar king of Babylon took not, when he carried away captive Jeconiah the son of Jehoiakim king of Judah from Jerusalem to Babylon, and all the nobles of Judah and Jerusalem;",وخداوند می‌گوید: چون مدت هفتاد سال بابل سپری شود من از شما تفقد خواهم نمود وسخنان نیکو را که برای شما گفتم انجام خواهم داد؛ به اینکه شما را به این مکان باز خواهم آورد.,bible
Thus doth Allah Make clear His Signs to you: In order that ye may understand.,"این گونه خدا آیاتش را برای شما بیان می‌کند، باشد که بیندیشید.",quran
"Say: Shall I give you glad tidings of things Far better than those? For the righteous are Gardens in nearness to their Lord, with rivers flowing beneath; therein is their eternal home; with companions pure (and holy); and the good pleasure of Allah. For in Allah's sight are (all) His servants,-","بگو: آیا شما را به بهتر از این [امور] خبر دهم؟ برای آنان که [در همه شؤون زندگی] پرهیزکاری پیشه کرده‌اند، در نزد پروردگارشان بهشت هایی است که از زیر [درختان] آن نهرها جاری است، در آنجا جاودانه‌اند و [نیز برای آنان] همسرانی پاکیزه و خشنودی و رضایتی از سوی خداست؛ و خدا به بندگان بیناست.",quran
"Again (of old) We bestowed Our favour on Moses and Aaron,","و به راستی ما به موسی و هارون نعمت دادیم،",quran
"So Nebuzar-adan the captain of the guard took them, and brought them to the king of Babylon to Riblah.",تمامی شرارت ایشان به نظر تو بیاید. وچنانکه با من به‌سبب تمامی معصیتم عمل نمودی به ایشان نیز عمل نما. زیرا که ناله های من بسیار است و دلم بیتاب شده است.,bible
She's beginning to slobber,"آب دهنش داره می‌ریزه،",mizan
"If only they had believed in Allah, in the Prophet, and in what hath been revealed to him, never would they have taken them for friends and protectors, but most of them are rebellious wrong-doers.","اگر به خدا و پیامبر و آنچه بر او نازل شده ایمان می‌آوردند، [از برکت آن ایمان] کفار و مشرکان را سرپرست و دوست خود نمی‌گرفتند؛ ولی بسیاری از آنان فاسق اند.",quran
"He had not told them, simply because he had supposed they would understand that they had to pay interest upon their debt, as a matter of course.",و فقط به این علت به آن‌ها اطلاع نداده است که فکر می‌کرد آن‌ها حتما می‌دانند که باید سود بدهی‌شان را بپردازند.,mizan
"A little one shall become a thousand, and a small one a strong nation: I the LORD will hasten it in his time.",و نگریستم و اعانت کننده‌ای نبود و تعجب نمودم زیرا دستگیری نبود. لهذا بازوی من مرانجات داد و حدت خشم من مرا دستگیری نمود.,bible
And we have seen and do testify that the Father sent the Son to be the Saviour of the world.,"مکاشفه عیسی مسیح که خدا به او داد تا اموری را که می‌باید زود واقع شود، برغلامان خود ظاهر سازد و بوسیله فرشته خودفرستاده، آن را ظاهر نمود بر غلام خود یوحنا،",bible
"And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.","زیرا اینک آن روزی که مثل تنور مشتعل می باشد، خواهد آمد و جمیع متکبران وجمیع بدکاران کاه خواهند بود و یهوه صبایوت می‌گوید: آن روز که می‌آید ایشان را چنان خواهدسوزانید که نه ریشه و نه شاخه‌ای برای ایشان باقی خواهد گذاشت.",bible
"I have declared the former things from the beginning; and they went forth out of my mouth, and I shewed them; I did them suddenly, and they came to pass.",و به اسیران بگویی: بیرون روید و به آنانی که درظلمتند خویشتن را ظاهر سازید. و ایشان درراهها خواهند چرید و مرتعهای ایشان بر همه صحراهای کوهی خواهد بود.,bible
"With shame does he hide himself from his people, because of the bad news he has had! Shall he retain it on (sufferance and) contempt, or bury it in the dust? Ah! what an evil (choice) they decide on?","به سبب مژده بدی که به او داده‌اند، از قوم و قبیله‌اش [در جایی که او را نبینند] پنهان می‌شود [و نسبت به این پیش آمد در اندیشه‌ای سخت فرو می‌رود که] آیا آن دختر را با خواری نگه دارد یا به زور، زنده به گورش کند؟! آگاه باشید! [نسبت به دختران] بد داوری می‌کنند.",quran
"And Joseph went up to bury his father: and with him went up all the servants of Pharaoh, the elders of his house, and all the elders of the land of Egypt,","وارابه‌ها نیز و سواران، همراهش رفتند؛ و انبوهی بسیار کثیر بودند.",bible
"To her had come that pleasant intoxication peculiar to those whose lives are a deliberate slap in the face of organized society the gambler, the confidence man, the polite adventuress, all those who succeed by their wits.","در مستی و فراموشی فرو رفته بود، به اصول جامعه بی اعتنایی می‌کرد و به صورت اجتماع سیلی می‌نواخت به همه سیلی می‌زد، به قمار بازان، ماجراجویان، مردمان اصیل و آنان که با هوشیاری و لیاقت خود ثروتمند شده بودند.",mizan
You will have to choose between Bill and your master.',مجبوری بین بیل و اربابت یکی را انتخاب بکنی.,mizan
"And he said unto them, What man shall there be among you, that shall have one sheep, and if it fall into a pit on the sabbath day, will he not lay hold on it, and lift it out?","درجواب ایشان گفت: «دانستن اسرار ملکوت آسمان به شما عطا شده است، لیکن بدیشان عطانشده،",bible
The LORD hath made bare his holy arm in the eyes of all the nations; and all the ends of the earth shall see the salvation of our God.,«ای رنجانیده و مضطرب شده که تسلی نیافته‌ای اینک من سنگهای تو را در سنگ سرمه نصب خواهم کرد و بنیاد تو را در یاقوت زردخواهم نهاد.,bible
"asked Laurie, as he seated her in the hall chair and took off the rebellious boots, seeing how her hands shook.",بعد لاری در حالی که روی صندلی سرسرا می‌نشست و سعی می‌کرد چکمه‌های جو را که دست‌هایش سخت می‌لرزیدند در بیاورد پرسید,mizan
